rest,scr,id,scramble_length
10.74,L2 D' F2 R' D' L U D B' D' F U2 D2 B R2 D2 R2 B' L2 F2 ,1172,55
10.74,D' R2 B2 L2 R2 D L2 F2 D R B D2 B' F' U' F2 D F' L U' ,1173,54
10.74,R L2 F2 R2 F' B' L2 F R2 U' F2 D2 R' B2 D2 L2 B2 L U2 ,1174,54
10.74,B2 D2 L2 D B2 D2 F2 R2 U' R' D2 F L' B L' U' L2 B2 R' U2 ,1175,57
10.74,D2 R' F D R D' F2 L B2 D' R2 F2 R D2 L' F2 U2 D2 L' D2 ,1176,55
10.74,U2 B' L2 B F R2 U2 R2 B' D' L' D U2 R2 F D F' L D ,1177,50
10.74,F2 D L2 B2 D R2 F2 D' U B2 L' B D' L2 F D' B D U2 R2 ,1178,53
10.74,F U2 D2 B R U B2 R2 U R L2 B U2 L2 B U2 L2 B' D2 ,1179,49
10.74,R B' U' F' U2 R' D F B2 D' R B2 D2 R2 B2 D2 R' D2 B2 L ,1180,55
10.74,R D2 B2 L U2 R D2 F2 L B D' L2 U R F' D L U R U2 ,1181,49
10.74,U2 R2 F2 U2 B R2 B' R2 B D2 F2 L F' R' U R D U' L R' ,1182,53
10.74,R L2 U B' U' D' F U2 D2 R L2 U2 R2 D2 F U2 D2 R2 F' ,1183,52
10.74,D2 L2 U B2 F2 D2 R2 U' B2 U B' R U2 R D2 L' D L2 B2 L' ,1184,55
10.74,L2 U' F U D' B' R' L' D' F' D F2 U D' R2 D F2 D' F2 R2 F2 ,1185,58
10.74,B' R F U' F2 R D L' D2 R L2 D2 F2 U' D2 B2 R2 D2 R2 ,1186,52
10.74,L' U2 D' B D' L F2 B2 L' B2 U2 D' R2 U' L2 U R2 D2 F2 U ,1187,56
10.74,L2 B' D2 R L' B' U' F U2 D F2 L' U2 R U2 F2 R B2 D2 R2 ,1188,55
10.74,U2 F2 L2 B2 R' B2 R' U2 L2 R2 B' R F U F L2 F' D' R' D' U' ,1189,59
10.74,D' F2 D2 L2 B2 D2 R2 U F2 D L' U F' D2 R F' L D B' D' ,1190,54
10.75,D' R2 F2 R2 U' L2 R2 U2 B2 L U2 F' L' B2 L R D' B2 U' F' ,1191,57
10.75,R2 U F2 U F2 U L2 U B D2 B D' F U2 R F2 U B2 U2 ,1192,48
10.75,U2 F R2 B U2 B' L2 R2 D2 B' R' B' R' D F U' R2 D' L F2 ,1193,55
10.75,R2 U2 R F' U' L2 F2 B D' B R' B2 L' U2 L' B2 R D2 ,1194,50
10.75,R D2 U2 R2 U2 R2 B2 R' F2 R2 U' F' U B' U' R' D F2 L U2 ,1195,56
10.75,B' L2 B L2 F' L2 R2 D2 F' L2 U2 L U' L R2 F' D' L' B ,1196,53
10.75,U2 R2 B2 D' R2 U' L B' L B R2 F L2 F' L U R2 ,1197,45
10.76,B' U2 L2 B' F R2 U2 B2 U2 F D B' F D' F2 R D' B2 L' F' ,1198,55
10.76,F U2 D L' D2 B2 L' D2 L F D' F2 D' R2 U' F2 D' F2 ,1200,50
10.76,D2 R B2 R' B2 U2 L' R U2 B2 U F' L R' B R F2 U' L B2 ,1201,53
10.76,F2 D' L2 U2 F2 R2 F2 D L2 D2 F2 L B F D L R2 U L' F2 L' ,1202,56
10.76,R' F D L2 F2 L2 F' L2 B' D' R F2 B2 U2 F2 B2 R2 B2 D2 ,1203,54
10.76,L2 U2 B' D2 F' R2 F L2 B F2 L2 R F L' R' B2 L B R D F ,1204,54
10.76,L2 F D2 B' R2 D2 U2 F L2 B2 D' L' R2 D L' B R B2 F2 D ,1205,54
10.76,U' R D' F2 D L B' D F R2 F2 L F2 B2 U2 R2 D2 L U2 R2 ,1206,53
10.76,R2 F' L2 B' F2 D2 F D F D' R D L2 B D2 L' B2 U ,1207,47
10.76,D2 R2 D2 U2 B2 U2 R2 B' R2 D' F R' U L F2 U2 R' B' ,1208,51
10.76,U2 D L F' L2 D' R L2 F U2 R2 F2 L2 D R2 L2 U R2 D ,1209,50
10.76,R' F2 B' R' F2 R2 U R D2 F' L2 F2 R2 D B2 U B2 D2 F2 U ,1210,55
10.76,L2 U' L2 D' B2 U F2 U B' F U' B' F R2 U F U' F2 ,1211,48
10.76,B2 L2 R2 D2 R2 U L2 D U' B' L2 U' F D' F R' F2 R2 F' R ,1212,55
10.76,B2 F L2 F L2 R2 U2 B' L' D' B2 L R B U2 R2 B L2 R ,1213,50
10.77,B2 L2 U2 F R2 D2 F U2 B' F' L U' R2 F' L' D B' F R2 U2 ,1214,55
10.77,D R F2 U' F D' R' B' U R L2 B2 R U2 B2 D2 R2 F2 D2 R ,1215,53
10.77,F2 U2 F' R F D' B' U F' B' R' B2 U2 F2 B2 L' B2 L F2 ,1216,53
10.77,U2 L' D2 L2 B2 R B2 R U' B D2 L2 B' D' B F2 R2 B2 U ,1217,52
10.77,B L2 B U2 R2 D2 B2 R2 B' R D2 F L D U2 F2 L' D2 F' R ,1218,53
10.78,L' B' D' F' D L B' U' F2 U' B' L2 U2 L2 F L2 F2 B L2 F2 ,1219,56
10.78,F2 U2 R2 D2 U2 B2 R B2 U2 B R' U F U' F' U B F R' F2 ,1220,53
10.78,D L' F2 R D B2 L' U' B U2 R F2 R B2 L' B2 R L2 B2 ,1221,50
10.78,L2 B F2 R2 D2 F D2 B D2 F' D L U2 F D U' L' U2 R' U' R' ,1222,56
10.78,D2 L2 U2 B2 U2 L D2 F2 R2 F2 U2 B' D B L R' D' B' R B R' ,1223,57
10.78,F2 R2 B' D' F D' R U R2 U' D2 F' B' U2 F L2 U2 L2 F' ,1224,53
10.78,U2 F2 U' F' D R L B2 R2 U D2 F2 R' B2 L' U2 D2 F2 R' F2 ,1225,56
10.78,F' D2 F L2 F' U2 F2 R2 F' D2 B R D' L D U2 L' D B' U2 L2 ,1226,57
10.78,F2 L2 U2 B2 R2 F2 D' L2 F L' B' R B F2 D2 U' F' U' B' ,1227,54
10.78,F' B2 R' F2 U2 R D2 R U2 F' L2 U' R2 L2 D' F2 D B2 D B2 ,1228,56
10.78,F2 L2 B2 D R2 F2 U' B2 U' B' D' L' B' L2 F' U' B2 D R B' ,1229,57
10.78,D2 R' B2 L' F2 D2 B2 F2 R U2 L2 F' R' U' L R2 D L2 F U2 L2 ,1230,59
10.78,U R F2 B U' R2 U' L' U R2 F' U2 F2 U2 L2 U2 R2 B2 U2 B2 ,1231,56
10.78,D2 R U' R' F2 R F' U2 F2 L2 F2 U2 L D2 R D2 R2 ,1232,47
10.78,U2 L D2 F2 D2 R2 D2 R B' D L' R' F R2 B U L' D' B' ,1233,51
10.78,B' D L2 U' R' F' U' R2 D R' U2 B2 L' U2 B2 L U2 F2 B2 ,1234,54
10.78,B2 U2 L2 D2 B' L2 F2 U2 L2 B U L F' R2 F2 L' F2 D L2 B ,1235,55
10.79,F' R2 B2 R L D' B' R2 D F2 D2 R' F2 R2 L U2 D2 R' D2 B2 ,1236,56
10.79,D2 B2 R' B2 L R2 U2 R2 U' L F2 L F' R2 F' D' B' U B ,1237,52
10.79,B2 U2 R2 F' L2 B2 U2 F D2 L2 D R' U F2 U2 B L' F2 R2 D2 B ,1238,58
10.79,B' D' L D2 B2 D2 F L B R' B2 U' F2 U F2 L2 U2 L2 D F2 D ,1239,56
10.79,U' L2 F2 D2 B2 U' L2 D2 B2 U B' D2 U2 B2 D' R B2 D2 R ,1240,54
10.79,R F2 B D R F R' U F' B L U' R2 U' B2 U2 D' R2 L2 U' ,1241,52
10.79,R2 U2 R2 F2 R2 B2 R' U2 B' F' U' L' B2 L2 F' D' U B' ,1242,53
10.79,R' U2 R' B' D2 L' B U' L F' U R2 U F2 U2 D B2 D' ,1243,49
10.8,B' U2 R2 U2 F2 R2 F U2 F R F' D' R D' F' U2 L2 R B ,1244,51
10.8,U B2 R2 D F2 L2 B2 D B2 D' R D' B L' R' B2 L' U R ,1245,50
10.8,F' R L' F D' F' R L' F R L U2 R D2 R U2 F2 R' D2 R2 ,1246,52
10.8,U2 B' R2 B2 U2 D F' L D2 F U2 B2 D2 F2 D' L2 B2 D' R2 ,1247,54
10.8,R2 U2 L B2 D2 L' B2 U2 R' D2 R2 U' R' B D U2 L2 U F' U' B ,1248,58
10.8,B2 D2 U2 B' U2 R2 B L2 F U' L U' R B D2 B' L B U F' ,1249,52
10.8,U2 R D' L' B' L' U L' D2 B' U2 L2 U R2 F2 U2 F2 U' B2 D ,1250,56
10.8,D2 B' D2 F2 R2 F2 R2 F' L' D2 U2 R B U R2 U' F R2 U2 ,1251,53
10.8,D' F2 L2 D U2 F2 U' R' F' D' F2 R2 B' R F L B' F ,1252,49
10.81,B2 U2 L B2 L F2 L' D2 R2 B F2 D U L2 B2 F D2 U L R' ,1253,52
10.81,F2 B U' B2 U' L' U' F' U' L' B' U D2 F2 U2 D F2 L2 ,1254,51
10.81,B' L2 B U2 L2 D2 R2 B2 U2 F U' R D2 U R' D R2 F2 L R' ,1255,54
10.81,F' D2 B F2 L2 F2 D2 L2 R' B' R U2 B' U R2 D L F D' ,1256,51
10.81,D2 R U F R' B2 R2 D R U F' L2 F D2 F2 D2 B D2 B' D2 ,1257,52
10.81,D2 F' R2 F' R2 B D2 B D2 F U' B R' D2 R D2 R D' B D' ,1258,53
10.81,B2 D2 F2 U F2 R2 D2 B2 L2 F' U2 B R' B2 D' U' L' U2 L' R' ,1259,58
10.81,F2 U L' F L' B D F2 D' L F' U2 D2 F2 D2 F U2 R2 B' ,1260,51
10.81,F2 U R2 D2 F2 U2 B2 U L2 R2 U B D2 L D' L R' D L2 ,1261,50
10.81,R' L2 F U' R U' L' F D' L' D' L2 D2 L2 F2 U' F2 U R2 F2 ,1262,56
10.81,U' F2 D L2 D' R2 U B2 F2 L2 D' B R' D U2 F' L' R U' F ,1263,54
10.81,L F2 R2 D2 R' F2 L2 U2 L' U' L' D' U F' U2 R F2 U' B L ,1264,55
10.81,U L' B' R' D' L2 B' U' D' F' L2 U B2 L2 U L2 B2 D' L2 U ,1265,56
10.81,L2 B2 R U2 L' F2 U2 R' D B' R' F2 R2 U L' B U L2 R ,1266,51
10.81,L U2 L F2 U2 B2 D2 R' U2 F L D2 B D' L2 D B' D2 U' ,1267,51
10.81,D L2 D2 F2 L2 D B2 L2 B2 L F2 U' B' R' D2 L U' B F2 ,1268,52
10.81,U R' F2 R2 L U F' B L' U B R2 U2 D2 F2 R2 F' U2 F ,1269,50
10.81,R' B2 F2 R U2 R F2 L' F2 D' R' U' L D L' F D2 U' B2 ,1270,52
10.81,U R F R' L U' D F2 U' F' L D2 L' F2 R U2 B2 L2 ,1271,47
10.81,U' D L D' F R U2 L2 F' U L2 B2 R2 L2 B' L2 D2 L2 U2 ,1272,52
10.81,D2 R' U' B R F' R D' L2 B D2 L U2 F2 U2 R L F2 B2 ,1273,50
10.81,D2 F U2 B2 D2 L2 F2 U2 F U2 F' D' B' R U L B L D U2 L ,1274,54
10.81,U2 B2 D2 U2 R' U2 L2 B2 R2 F2 R2 B' D L' D2 R' U' R B2 ,1275,55
10.81,D2 B2 R F U2 F L' U R' F' U2 R2 L F2 R F2 U2 R ,1276,47
10.81,U2 L2 B2 R' B2 R2 D2 R D2 R' F' U2 L' U L' R F D' B' F ,1277,55
10.82,F2 D2 B U D R' D R' F R B2 D2 L' U2 L U2 D2 L2 D2 ,1278,50
10.82,L R D2 F2 L F2 L2 F2 D2 U B' R2 D2 F' U' R' D L F' L2 ,1279,54
10.82,D B2 F2 D F2 D' F2 U' L D' L F' D L F2 U' F2 U B ,1280,49
10.82,L2 U L2 U R2 U2 R2 B2 D2 F' U' L' R' B' U' R2 U' R D2 R' ,1281,57
10.82,U F B2 U R D' L B R2 B' D F2 D2 R2 F2 B D2 F U2 ,1282,48
10.82,U R B2 L D R2 F2 L B' U' D2 L U2 R B2 R2 L' U2 R' U2 ,1283,53
10.82,F R2 D2 B F L2 R2 B U F U R B2 D L2 D2 B U' R' ,1284,47
10.82,B' D2 R2 F U2 B2 U2 B2 L' D' L2 R U L' U F' D' R ,1285,49
10.82,D2 B' D2 B2 F L2 F' D2 F' L U R2 U B F L2 U' F' U B2 ,1286,53
10.82,B U2 R2 B' L2 F' L2 D2 F U2 R D L' U' F' U' F2 U' L U R' ,1287,57
10.82,U2 F2 U2 B L2 R2 F' R2 B2 D2 U R B L2 R B' U2 F R' D2 ,1288,54
10.83,B2 R2 U B2 F2 D' L2 R2 B' F' R2 D' F D L F2 U' F D2 ,1289,52
10.83,B2 F D2 F2 L2 F2 R2 B' D2 R B2 U L' B R B D U R2 ,1290,49
10.83,D U2 F2 U L2 R2 U B2 L2 B2 L2 R F2 R B D' F' U2 R' B U ,1291,55
10.83,U D L F' U' R2 L B L F U' L2 D R2 D' B2 U2 B2 D' F2 U ,1292,54
10.83,R2 U L2 U F2 U R2 U F2 R2 U' R' F D2 L2 F' D2 F2 R F' ,1293,54
10.83,F2 R2 U R2 D U2 B2 U2 L B' R' F2 L U R F D2 L B2 ,1294,49
10.83,U2 B' F' D2 U2 L2 D2 B' L2 D' L' D2 U' B2 F2 R B' F2 L B2 ,1295,58
10.83,F2 D2 L' R2 B2 D2 B2 U2 R' D F' U B2 R' D U2 L F2 L2 ,1296,53
10.83,U L2 F2 D' F2 D R2 U2 B2 U' F D L' B' F D F' R' U2 R ,1297,53
10.83,F' U2 L2 D2 B L2 F D2 L2 F D R B L U' L F2 R2 F2 ,1298,49
10.83,U2 B D2 L2 D2 R2 B' L U' R U R F L' U' B' D' U' ,1299,48
10.83,R2 F R' F2 L2 U B' L2 B' U R2 L2 F2 L2 D' L2 D ,1300,47
10.83,B' R F2 D L2 U2 B' R2 B U' R2 B2 D2 B2 L U2 R2 L D2 L' ,1301,55
10.83,U2 L2 F' R2 F U2 L2 B2 R2 U R' B R2 U' F2 D2 U2 L' D B ,1302,55
10.83,L D2 F2 R2 F2 L' U2 L F2 U2 F D L D L' U' F' R2 B2 ,1303,51
10.83,F2 L2 F' R2 B D2 U2 F2 D U B' L' F' L B' D2 B' U L2 ,1304,52
10.83,D R U2 R B' D' F L B R2 F2 U R2 U' R2 D' R2 U F2 D ,1305,51
10.83,D2 F' U2 F L2 U2 B2 U2 F2 R2 F' L B' F' D' B R' D L B2 F ,1306,57
10.83,F B' U R' F' B' U2 L2 D B' L' U2 D2 L2 U2 L' F2 D2 L' ,1307,54
10.83,R2 D2 U2 B2 U2 F2 R' U2 L' U2 F' U' B R D L2 U' F U R2 ,1308,55
10.83,F2 U2 R' F2 L' U2 L' R' D2 R' B' L2 D U' L' D F' U' B' D' ,1309,58
10.83,U' L2 B2 R2 B2 D U2 R2 U B U' B' L' F2 D F U2 L' F' U ,1310,54
10.84,F2 U2 B R2 B L2 B U2 L2 F' U2 R' F2 U F L B2 D R ,1311,49
10.84,R' B R' U F' U2 D' B L U' R U' D' R2 D' R2 F2 L2 U ,1312,51
10.84,B' R2 B' L2 B2 L U B' L F' B2 D R2 U' R2 B2 U D B2 ,1313,51
10.84,F2 L2 F2 L2 D B2 D L2 B2 L2 R' D' L' B' L2 R2 B' U' R' B2 ,1314,58
10.84,L2 R2 F2 D2 B L2 R2 D2 F' L F2 U2 F2 R2 B2 U' L' D' R' ,1315,55
10.84,B' F2 R2 D2 B' U2 F D2 R D2 B' R2 D' U R' D2 L' B2 F' ,1316,54
10.84,F2 D' R2 F2 L2 F2 D B2 F D' B2 L2 B' L2 U2 R2 B2 L U2 ,1317,54
10.84,B U2 F2 R2 B F' R2 D' B L2 R' D R2 D R F2 D' ,1318,45
10.84,D2 R2 U' F2 U' L2 D F2 D B' R2 D2 L U' R U2 R2 D' B' D ,1319,55
10.84,B' U' B2 D2 L' D F2 R' U F R U2 L' D2 F2 U2 R B2 L2 B2 ,1320,55
10.84,B2 U' R2 F2 U R2 B2 D' U B' R D B L D2 U' L' B L2 U2 ,1321,53
10.84,L2 F2 U2 R2 B2 R2 U F2 D' U' F R' U2 L F' L' U L F2 U2 ,1322,55
10.84,F2 U2 B2 F2 R F2 L R' U L D' R' F2 R' B D B2 D R' ,1323,50
10.84,R2 U B2 D R2 D2 F2 D' F2 U' B2 L D' R' D L F R2 F' R2 ,1324,54
10.84,D2 R2 B' R U B R B R' F' B2 R2 U' L2 F2 B2 U D2 F2 U2 ,1325,54
10.85,F' L' U B' D2 R' D' F B U' R' F2 U2 R U2 L' B2 D2 R2 F2 D2 ,1326,59
10.85,D R2 D' U2 L2 B2 F2 L2 R2 B' D B2 U' F' L2 U' F L' B U' ,1327,56
10.85,U2 L B2 U2 F2 D2 L' U2 L D2 U' F U2 F2 U2 L2 D2 L' D R2 ,1328,56
10.85,F2 R D2 F2 R U2 B2 R' B2 R2 D2 F' U B2 F L2 D2 U2 B' L ,1329,55
10.85,D R2 U' F2 U2 F2 U' B2 L' U R D L2 D F U' R' ,1330,45
10.85,D U L2 D' F2 U F2 R2 D' R B2 U F' R' U2 B' U' F2 R' ,1331,52
10.85,D2 B2 R2 B2 U2 R B2 F2 L2 R' B R B2 R' D2 B2 U' F2 U F ,1332,55
10.85,R' F2 L' U2 L F2 R U2 B2 D' L R' U' F' R D L B' F' D2 ,1333,54
10.85,U R L2 B' R' F' U' L B2 R F U' B2 U2 L2 B2 U R2 U ,1334,50
10.86,U' B R2 D R B2 L' B2 U D2 R' D2 L2 U F2 L2 B2 R2 F2 ,1335,52
10.86,R2 F2 U2 L2 B2 D2 U F2 D L B F2 U' F' U' F' R2 F D' L' ,1336,55
10.86,U2 R2 D B2 D B2 R2 B2 D' B2 U F' U R F' D' R' F R2 F2 ,1337,54
10.86,R' B2 D2 R' D2 L2 D2 R2 B2 L2 D R' U2 F U B' L2 B2 U R2 ,1338,56
10.86,F2 R D2 B2 U2 R F2 D2 U2 L2 U' R D B R2 D L F2 U L ,1339,51
10.86,B' D2 F2 R' U B R D2 B D2 F2 U' B2 D' F2 R2 D' L2 D2 B2 ,1340,56
10.86,L2 R' D2 R' F2 D2 B2 D2 R2 F L2 R2 U R2 F2 R' B' L ,1341,51
10.86,R' L U' F U' D R F B2 D R L2 D2 L F2 L' U2 D2 ,1342,46
10.86,L' R' D2 R F2 R2 U2 B2 R U L' F' U2 F' L' D' U' F R D ,1343,54
10.86,B2 D L2 F2 U2 F2 R2 D B2 D' B' D' U2 B' L2 U B L' D' ,1344,53
10.86,F' U2 F' L2 U2 F' U2 B2 U2 L2 B2 R' D' R2 B' U B' R D U ,1345,56
10.86,U' F L' D' F' R' U R2 U' D2 F' B2 U2 R2 F' L2 B R2 F L2 ,1346,56
10.86,L2 D R2 D' U2 B2 L2 U' R2 D' B2 R B2 U2 B U L2 D2 F' D2 ,1347,56
10.86,R' U2 F2 R' D2 R' B2 L' F2 R' B D' B2 R B F D2 L2 R' ,1348,53
10.86,B2 D B2 U2 L2 U' L2 F2 U R2 U L' R F' L' D2 U F L2 B U' ,1349,56
10.86,B2 L2 F2 L' F2 D2 L2 D2 F2 R B2 U' R D' B L' R2 D' R U2 ,1350,56
10.86,L' B2 D2 U2 R2 F2 U2 F' D2 B' R2 U' R B' D' U2 B' ,1351,50
10.86,B2 F2 D F2 D B2 D' U' B L' F U' F2 U2 R2 B' U F' L' ,1352,52
10.86,D2 B2 L D' R2 B U R' D' L F' U2 R2 F2 R2 L2 F R2 B R2 U2 ,1353,57
10.86,U F2 D U' B2 L2 U' B2 U R2 F2 R' F2 D' R' B2 D F' L B F' ,1354,57
10.86,B' R' U' F' L2 D B2 L U' R' U L2 D2 R2 U' D R2 B2 D' ,1355,53
10.86,R U2 B2 D2 R' D2 R' B2 L R2 F' U' L' B R U' F' U' R2 F' ,1356,56
10.86,R' U' D L' U D' R' B' R U B D2 L2 F' L2 B2 U2 L2 D2 ,1357,52
10.86,B R D L U' F2 L2 F L F2 B2 D B2 L2 U F2 R2 U ,1358,45
10.86,R2 D2 F2 D' B2 D' B2 U2 R2 D R' U' B D' R' B2 F U2 R2 D' U2 ,1359,60
10.86,R2 D' R2 D B2 L2 U2 B2 L' D B2 L D' B D L U L' B2 ,1360,50
10.87,F2 U' F' R' D L2 U2 D2 L D2 B2 U2 B' R2 D2 B' R2 B D2 B' ,1361,57
10.87,R2 B R' U2 L2 U2 B2 D' F' R' B L2 B2 L2 F' U2 R2 U2 F ,1362,54
10.87,B2 R2 F2 U' R2 D' B2 U F2 D2 F' L B2 F U' B' F R' F' ,1363,53
10.87,B2 F2 D' L2 U F2 L2 R2 D' U' B' U2 L U2 B R' F L' B2 L ,1364,55
10.87,D2 B R2 F' R2 B R2 B2 U' L2 F D' L' B L U' F' R' D' ,1365,52
10.87,L' B2 U R' U' D' B2 L' B R' U2 F2 D' F2 L2 D' L2 D F2 R2 ,1366,57
10.87,D2 F2 L F2 R D2 U2 L' F2 R D2 F U2 L F U' B2 R F' ,1367,50
10.87,L2 D2 L' D2 R F2 L2 U2 L' F2 R2 B U L' F2 R2 F D' R2 U' ,1368,56
10.88,L2 D R2 D2 U' B2 R2 B2 U' B2 L B D2 B F L D' B2 L U2 ,1369,53
10.88,U' F2 U2 L2 D R2 U R2 B2 L2 F' R' F' L' F' U B L R' B2 L2 ,1370,58
10.88,F2 R2 D2 U2 R' U2 B2 R2 B2 D' L2 B2 U' B F D B2 L' D2 U' ,1371,57
10.88,L U2 F2 U2 L2 R' B2 D2 R' D' L B' R2 U' F L' R B U F2 ,1372,54
10.88,B2 L2 F2 R F2 R U2 R B2 U B2 D L' D' R2 F L2 D' L' U ,1373,53
10.88,B2 L2 B2 R2 U2 F' L2 F' R B R2 B2 U L' D B F2 D' ,1374,49
10.88,F2 L2 F2 D2 R' D2 L R' U F R' F2 L' D' F' L U2 F2 U' ,1375,53
10.88,F2 U' B2 U F2 L2 D2 B2 F2 U' L' D2 R2 F' R U B' R B ,1376,52
10.88,U L2 B2 F2 R2 U R2 F2 U F2 R B D L2 R2 B F L' D L ,1377,50
10.88,U' R2 D U' F2 R2 U F2 U' R2 F L2 R B2 L B L B U2 F' ,1378,52
10.88,F2 L' D2 B2 L2 D2 B2 L B F2 R2 U' L2 R' B U B F2 ,1379,49
10.88,U' D' L F U' F U2 R2 F' U' R' D2 F2 B2 R2 D2 F2 R F2 L U2 ,1380,58
10.88,L' U2 R2 F' D L U' B U' R B2 U2 F L2 B' R2 L2 B2 U2 ,1381,52
10.88,R U2 L' B2 R U2 F2 U2 R' F2 U' L R B' L R2 F' U R B2 ,1382,53
10.88,F' B U' R2 U R U2 D B' R' F2 B2 R U2 R D2 F2 U2 D2 R ,1383,53
10.88,R2 U2 R2 F L2 R2 F D2 F2 L B2 F2 D2 R' B2 F' D L F2 U2 ,1384,55
10.88,D R2 U B2 F2 D' U2 L2 F2 L2 R' U' B R2 U' L R D B' L' U2 ,1385,57
10.88,D2 U' L2 U2 B2 F2 L R B U' L' B2 L2 R D' U R ,1386,45
10.88,U R2 F2 L2 D2 F2 U' B2 F D2 U2 L' D' B' F2 D L R' F2 ,1387,53
10.88,D2 R2 D2 U2 F D2 B D2 F2 D2 U B' D' F' R' U' R' U' R B' ,1388,56
10.88,R D' B' L F' D' L F D2 R' F' L2 B U2 L2 F' L2 B' D2 F' ,1389,55
10.88,F2 R2 D2 L' D2 U2 L' B2 F' R2 D2 B D' B' L B U2 F2 R' ,1390,54
10.88,D2 L2 B2 L2 F2 D' L2 F2 U B2 R U' F2 U' B R D R B F U' ,1391,55
10.88,F2 D2 B' R2 B2 L2 U2 B D2 R2 F D R' F2 L' B2 U2 R' B' D ,1392,56
10.88,U' B2 D L2 R2 U2 R2 F2 L B' L2 F' L' F2 R' D U2 R' D2 ,1393,54
10.89,D' B2 U' L2 D2 F2 L2 D' B L R D' L D2 R' B F' U L' ,1394,51
10.89,U2 D L' F2 B D' R2 B' D' F' R U2 R B2 L2 D2 F2 L F2 L' B2 ,1395,58
10.89,F2 D2 U2 B' L2 F U2 L2 B L' R' U R' U' L B D L2 ,1396,48
10.89,U2 R2 D2 F D2 R2 B2 D2 L2 U2 R D' U' R' B' R' D2 L U2 R2 ,1397,57
10.89,D' L2 D' B2 L2 F2 L2 D F2 R' B' F2 U L' U2 B2 D B' L D2 ,1398,56
10.89,B2 R2 F2 U' F2 R2 U' B2 U F L2 U2 F2 D R U2 B' L2 D' R' ,1399,56
10.89,L D F2 L' U R B' D2 F B2 L2 B2 R2 U' L2 B2 D' R2 U2 R2 ,1400,55
10.89,L2 R2 U2 L2 F' D2 B2 D2 U' R F D2 U2 L D U B' D F2 ,1401,51
10.89,B' R B' D' F2 R D' L' D' B L2 U D R2 U F2 U' B2 U' F2 ,1402,54
10.89,R2 D U L2 F2 L2 U R2 U F2 U' F' R D' U' R F2 R2 D L F' ,1403,55
10.89,U' B L' B U F' R' U D2 L F L2 B2 R2 B2 U' B2 D2 F2 D ,1404,53
10.89,F2 D U L2 F2 U' L2 D' B R D B L2 B2 U L' R2 B' R' ,1405,50
10.89,R2 F R B R' B2 U2 B' R D L2 B' D2 B R2 D2 L2 B2 D2 ,1406,51
10.9,B2 R' D' B' L F B2 R' F D F2 R2 D2 B2 U2 L' F2 L2 U2 R2 ,1407,56
10.9,U2 F2 L F2 R2 U2 F2 D2 F2 L B U' R' F' D R D2 R F R' B' ,1408,56
10.9,L2 D2 R2 B2 L2 F R2 B' U2 F2 D' F R' D' B' F' D U2 L2 B' ,1409,57
10.9,F2 U2 B2 L2 D B2 D R2 B2 L' U' B U' B' D' F D2 B2 L2 ,1410,53
10.9,U B' U' L2 U' F R B2 D' R2 F' L2 F U2 F' U2 B U2 B U2 ,1411,54
10.9,U2 R2 L B' U2 D' R U' R D' R2 D2 B' R2 D2 L2 U2 F2 B' U2 ,1412,57
10.9,B2 D' F' L' B2 D2 F' R2 U2 D' L2 B R2 B' R2 U2 F' L2 U2 F' ,1413,59
10.9,B D2 R2 U2 L2 F2 D2 U2 L' U' F L D2 F' R2 D2 L F2 L2 ,1414,53
10.91,R2 U R2 D U R2 B2 U2 B U' R' U' F' L2 R2 U F2 D U' ,1415,51
10.91,D2 U2 B2 L R F2 L U2 R F' D2 L2 D R B F2 U' R' D ,1416,49
10.91,R' L' B D2 B U2 D' B D F' R' B2 U2 R L2 F2 L2 D2 R ,1417,51
10.91,F D2 L D2 F' U R B2 R2 B2 L' D' L2 D' F2 D' F2 D2 R2 ,1418,53
10.91,R D R2 U' F2 L F2 U D2 B D2 B2 U R2 U2 B2 L2 B2 U2 ,1419,51
10.91,B2 L2 U2 R2 F' D2 F L D' U R U2 B2 F R B F2 D2 ,1420,47
10.91,L2 B L2 R2 U2 B' F2 L2 B F' L U2 L' D' B' L' U2 F R' B ,1421,55
10.91,U2 B' R2 D2 L2 U2 B2 D2 U B2 D F L R' F D2 F2 R' B2 ,1422,52
10.91,F2 D R2 D R2 U2 L2 D U2 R2 B' D' R U2 F' D' L' U F' R ,1423,54
10.91,F' L2 R2 U2 B' U2 R2 B' F2 L2 U' R' D2 R' B' D' B2 D' R' F2 U' ,1424,63
10.91,D2 B2 F2 R2 D U2 F2 L2 D' R2 U L' U R F' U B R F L' F' ,1425,55
10.91,B' D F U2 D2 L2 F2 U' F U2 R2 F2 D2 L D2 R2 F2 L ,1426,49
10.91,D' F2 D R2 F2 U2 R2 U B' D2 F' R' B' R2 U2 L U L F' ,1427,52
10.91,F2 R' D2 U2 B2 R' U2 R F2 R2 U' R' D2 R' F2 U F' L2 B2 D ,1428,57
10.91,F U2 B2 L2 U2 B' U2 B L' B2 L' R2 B D' L2 U' L' F2 D2 ,1429,54
10.91,U2 B2 U L2 D R2 D L2 F2 L' D2 L2 D F R' B F U2 L' F ,1430,52
10.91,R2 B' R2 D' F R2 F2 U' L F' D' L2 B2 U2 F2 D' B2 U R2 U ,1431,56
10.91,L2 B' L2 F' U2 B' L2 B2 U2 R2 F' D' L2 D L U2 L2 B F' U2 ,1432,57
